Latitude,Longitude,Elevation,Dataset,FilePath,ContainingFolder,Status,ImgBroken,NewImgePath
30.895018,-93.559640,24.879219,ned10m,DamageDetection\train_another\damage\-93.55964_30.895018.jpeg,train_another,damaged,false,images/-93.559640_30.895018.tiff
30.693981,-93.573763,23.434086,ned10m,DamageDetection\train_another\damage\-93.573763_30.693981.jpeg,train_another,damaged,false,images/-93.573763_30.693981.tiff
30.779924,-93.578271,21.267588,ned10m,DamageDetection\train_another\damage\-93.578271_30.779923999999998.jpeg,train_another,damaged,false,images/-93.578271_30.779924.tiff
30.695412,-93.590110,20.264269,ned10m,DamageDetection\train_another\damage\-93.59011_30.695412.jpeg,train_another,damaged,false,images/-93.590110_30.695412.tiff
30.694764,-93.590309,18.380056,ned10m,DamageDetection\train_another\damage\-93.59030899999999_30.694764000000003.jpeg,train_another,damaged,false,images/-93.590309_30.694764.tiff
30.694956,-93.590598,18.378599,ned10m,DamageDetection\train_another\damage\-93.590598_30.694956.jpeg,train_another,damaged,false,images/-93.590598_30.694956.tiff
30.674362,-93.597636,18.442520,ned10m,DamageDetection\train_another\damage\-93.597636_30.674362.jpeg,train_another,damaged,true,images/-93.597636_30.674362.tiff
30.668617,-93.599611,19.365795,ned10m,DamageDetection\train_another\damage\-93.599611_30.668616999999998.jpeg,train_another,damaged,true,images/-93.599611_30.668617.tiff
30.793330,-93.601916,22.262363,ned10m,DamageDetection\train_another\damage\-93.601916_30.793329999999997.jpeg,train_another,damaged,false,images/-93.601916_30.793330.tiff
30.023720,-93.602625,-0.294200,ned10m,DamageDetection\train_another\damage\-93.602625_30.02372.jpeg,train_another,damaged,true,images/-93.602625_30.023720.tiff
30.793818,-93.602993,22.560167,ned10m,DamageDetection\train_another\damage\-93.60299300000001_30.793817999999998.jpeg,train_another,damaged,false,images/-93.602993_30.793818.tiff
30.791791,-93.604071,22.428413,ned10m,DamageDetection\train_another\damage\-93.60407099999999_30.791790999999996.jpeg,train_another,damaged,false,images/-93.604071_30.791791.tiff
30.792952,-93.604618,22.095024,ned10m,DamageDetection\train_another\damage\-93.604618_30.792952000000003.jpeg,train_another,damaged,false,images/-93.604618_30.792952.tiff
30.794565,-93.604913,22.496143,ned10m,DamageDetection\train_another\damage\-93.604913_30.794565000000002.jpeg,train_another,damaged,false,images/-93.604913_30.794565.tiff
30.794779,-93.605042,22.398010,ned10m,DamageDetection\train_another\damage\-93.605042_30.794779.jpeg,train_another,damaged,false,images/-93.605042_30.794779.tiff
